po 27.07.2015 22:20:19,77 ;;;;;;;
 ;;;;;;;
js expression ;;;;;;;
0;2246.4144; ;;;;;
 ;;;;;;;
lua pointSimul allNative ;;;;;;;
0;31.2002; ;;;;34.32022;6.577579697
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;46.8003; ;;;;;
0;31.2002; ;;;;;
0;46.8003; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
 ;;;;;;;
lua pointSimul allScriptMinCallback ;;;;;;;
0;1778.4114; ;;;;1812.73162;33.53920723
0;1762.8113; ;;;;;
0;1825.2117; ;;;;;
0;1825.2117; ;;;;;
0;1856.4119; ;;;;;
0;1809.6116; ;;;;;
0;1856.4119; ;;;;;
0;1794.0115; ;;;;;
0;1778.4114; ;;;;;
0;1840.8118; ;;;;;
 ;;;;;;;
lua pointSimul scriptToNative ;;;;;;;
0;1201.2077; ;;;;1174.68753;26.56601302
0;1123.2072; ;;;;;
0;1154.4074; ;;;;;
0;1216.8078; ;;;;;
0;1185.6076; ;;;;;
0;1185.6076; ;;;;;
0;1170.0075; ;;;;;
0;1154.4074; ;;;;;
0;1170.0075; ;;;;;
0;1185.6076; ;;;;;
 ;;;;;;;
cs expression ;;;;;;;
15.6001;327.6021;Result: 263332938333579520.000000 ;;;;301.08193;28.52918566
15.6001;249.6016;Result: 263332938333579520.000000 ;;;;;
15.6001;280.8018;Result: 263332938333579520.000000 ;;;;;
0;280.8018;Result: 263332938333579520.000000 ;;;;;
0;296.4019;Result: 263332938333579520.000000 ;;;;;
46.8003;280.8018;Result: 263332938333579520.000000 ;;;;;
15.6001;327.6021;Result: 263332938333579520.000000 ;;;;;
0;312.002;Result: 263332938333579520.000000 ;;;;;
15.6001;312.002;Result: 263332938333579520.000000 ;;;;;
15.6001;343.2022;Result: 263332938333579520.000000 ;;;;;
 ;;;;;;;
cs expression opt ;;;;;;;
0;31.2002;Result: 263332938333579520.000000 ;;;;23.40015;8.221974621
0;15.6001;Result: 263332938333579520.000000 ;;;;;
0;15.6001;Result: 263332938333579520.000000 ;;;;;
0;31.2002;Result: 263332938333579520.000000 ;;;;;
0;31.2002;Result: 263332938333579520.000000 ;;;;;
0;15.6001;Result: 263332938333579520.000000 ;;;;;
0;31.2002;Result: 263332938333579520.000000 ;;;;;
0;31.2002;Result: 263332938333579520.000000 ;;;;;
0;15.6001;Result: 263332938333579520.000000 ;;;;;
0;15.6001;Result: 263332938333579520.000000 ;;;;;
 ;;;;;;;
cs callback ;;;;;;;
0;93.6006;Callback count: 10000000 ;;;;104.52067;14.79955432
0;93.6006;Callback count: 10000000 ;;;;;
0;109.2007;Callback count: 10000000 ;;;;;
0;93.6006;Callback count: 10000000 ;;;;;
0;109.2007;Callback count: 10000000 ;;;;;
0;140.4009;Callback count: 10000000 ;;;;;
0;93.6006;Callback count: 10000000 ;;;;;
0;93.6006;Callback count: 10000000 ;;;;;
0;109.2007;Callback count: 10000000 ;;;;;
0;109.2007;Callback count: 10000000 ;;;;;
 ;;;;;;;
cs pointSimul allScript ;;;;;;;
0;920.4059; ;;;;970.32622;90.6060111
0;904.8058; ;;;;;
15.6001;1185.6076; ;;;;;
0;920.4059; ;;;;;
15.6001;1045.2067; ;;;;;
15.6001;1029.6066; ;;;;;
0;904.8058; ;;;;;
0;920.4059; ;;;;;
0;936.006; ;;;;;
0;936.006; ;;;;;
 ;;;;;;;
cs pointSimul allNative ;;;;;;;
0;31.2002; ;;;;35.88023;7.535564213
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;31.2002; ;;;;;
0;46.8003; ;;;;;
0;46.8003; ;;;;;
0;31.2002; ;;;;;
0;46.8003; ;;;;;
 ;;;;;;;
cs pointSimul allScriptMinCallback ;;;;;;;
0;686.4044; ;;;;705.12452;30.14225685
0;639.6041; ;;;;;
0;717.6046; ;;;;;
0;702.0045; ;;;;;
0;717.6046; ;;;;;
0;733.2047; ;;;;;
0;686.4044; ;;;;;
0;702.0045; ;;;;;
0;748.8048; ;;;;;
0;717.6046; ;;;;;
 ;;;;;;;
cs pointSimul scriptToNative ;;;;;;;
0;577.2037; ;;;;539.76346;19.73273909
0;530.4034; ;;;;;
0;514.8033; ;;;;;
0;530.4034; ;;;;;
0;530.4034; ;;;;;
0;530.4034; ;;;;;
0;561.6036; ;;;;;
0;530.4034; ;;;;;
0;561.6036; ;;;;;
0;530.4034; ;;;;;
